Temperature_change,Normalized_frequency
0,1029.660103
0,997.5483351
0,990.04296
0,1019.622979
0,1019.115653
0,991.5896236
0,1003.58941
0,962.038862
0,1024.459411
0,1021.550818
0,1020.840237
0,966.1128168
0,997.1541413
0,1003.339597
0,1010.760306
0,1008.619444
0,1027.607787
0,974.8400728
0,999.5722589
0,991.2318518
0,1006.859261
0,1013.482999
0,1027.552469
0,994.6661672
0,1015.72972
0,969.8702728
0,999.9317224
0,1022.783935
0,995.9810082
0,1009.508927
0,1022.574366
0,1022.544187
0,1019.191617
0,1001.054335
0,1005.595138
0,997.361722
0,1018.78607
0,1047.290412
0,1004.702571
0,992.8789371
0,1003.965575
0,965.1244049
0,1007.859596
0,986.7943946
0,1000.783819
0,1003.637114
0,1017.199012
0,1007.261214
0,1018.773818
0,976.7000653
0,977.5065911
0,1001.443891
0,993.2138516
0,1000.639858
0,1009.814021
0,1002.64724
0,1013.709288
0,1031.738233
0,985.3762561
0,1002.006391
0,1008.966749
0,999.4645836
0,1022.320876
0,959.1361746
0,1040.66043
0,982.2780625
0,1007.198932
0,1016.266337
0,988.8498901
0,1011.801771
0,1016.257277
0,1012.932318
0,986.2590474
0,1040.241671
0,1007.476364
0,982.0935669
0,1014.928017
0,1004.027591
0,1011.844687
0,937.7377042
0,1027.606819
0,1006.108776
0,1006.327698
0,995.3875601
0,1017.41896
0,1021.421547
0,1008.283562
0,1028.910907
0,1004.769591
0,995.9419235
0,984.3898415
0,992.5427569
0,1018.324624
0,1001.792929
0,996.9574875
0,1013.020266
0,983.632965
0,993.8828375
0,1008.658328
0,1013.723922
0,1012.565892
0,1008.549599
0,1012.210737
0,1028.386467
0,988.9295537
0,994.6898573
0,1025.830801
0,979.7303109
0,1019.407949
0,971.8262391
0,995.0072764
0,1017.084019
0,999.5485886
0,999.9488905
0,1015.823587
0,969.8431947
0,1004.166664
0,1010.565114
0,998.7298759
0,991.9358232
0,990.7366659
0,1011.327053
0,971.9679535
0,1010.544258
0,994.4818391
0,997.799208
0,1016.070995
0,1015.786306
0,1007.708063
0,1006.082946
0,1018.316037
0,1038.13858
0,1015.068826
0,985.6008543
0,964.9351217
0,1038.814027
0,971.3730218
0,1025.569716
0,1017.972138
0,996.3127207
0,1016.226626
0,987.655632
0,1024.95206
0,993.6536896
0,1016.196186
0,1021.408084
0,1001.061017
0,1046.826922
0,1012.428846
0,1017.956674
0,994.5794077
0,1002.257513
0,1028.281886
0,988.492989
0,964.2294592
0,997.164719
0,986.9864264
0,1009.449321
0,1013.176573
0,989.6153516
0,997.4093908
0,986.4440514
0,987.4841219
0,1007.458388
0,1014.869076
0,1006.731815
0,1020.824676
0,1021.480748
0,1001.964747
0,993.1704227
0,986.040138
0,980.5037181
0,1005.870567
0,999.1974351
0,1042.373103
0,1005.550255
0,977.3693676
0,1029.481252
0,963.7835784
0,978.5082128
0,1009.989619
0,1003.029207
0,1026.710625
0,976.6309512
0,981.3049273
0,992.4113048
0,995.6744063
0,977.0683151
0,1007.153146
0,992.3924827
0,976.1976731
0,986.8049952
0,1023.618897
0,995.360812
0,1000.335965
0,1019.659676
0,1008.606288
0,983.9540138
0,997.4212115
0,991.8937564
0,1006.189137
0,992.7867719
0,1022.759355
0,988.7385137
0,993.6483312
0,1004.623061
0,1038.455492
0,1017.797892
0,1012.7405
0,993.2474502
0,1022.507508
0,1042.080445
0,1030.160916
0,1021.982433
0,1017.084402
0,990.8721242
0,1011.400809
0,1015.976585
0,998.2107828
0,1038.708909
0,1010.866108
0,1019.68925
0,1007.465338
0,965.0574294
0,996.1641455
0,1001.697995
0,1024.024292
0,1007.847076
0,1005.529986
0,1008.801441
0,1000.410253
0,989.6771949
0,980.345835
0,1007.890193
0,1013.991427
0,1054.150864
0,1010.647561
0,1015.599719
0,998.2268335
0,1012.508694
0,1019.179614
0,983.9523778
0,977.6890884
0,1024.530917
0,1025.046474
0,1010.501221
0,987.0907868
0,1008.729614
0,1037.591534
0,971.7975634
0,977.4125522
0,1005.63319
0,1003.369797
0,979.9531892
0,987.867275
0,1013.491873
0,994.0270549
0,988.7946035
0,1031.43911
0,1007.080658
0,1009.059555
0,1019.243196
0,1008.803034
0,1023.107221
0,1009.982495
0,1038.141255
0,994.3635607
0,1010.433202
0,1003.734044
0,991.1534718
0,997.4373371
0,990.0048117
0,1006.56425
0,1021.395659
0,1003.733068
0,1013.489219
0,1009.809402
0,998.2301469
0,994.2765208
0,996.4115969
0,959.1904435
0,1031.653071
0,1004.461275
0,998.0673756
0,980.0156281
0,1036.196543
0,996.7782378
0,1001.373188
0,1010.407063
0,1018.438352
0,990.7200001
0,1022.751446
0,1003.887162
0,1028.012997
0,1002.370774
0,996.6034302
0,974.7216464
0,997.4260612
0,1012.997421
0,1016.383935
0,999.2981387
0,1051.831695
0,971.2481197
0,1001.563175
0,1029.632078
0,1014.206415
0,1006.433808
0,971.0720782
0,1008.61005
0,993.3180404
0,1006.457827
0,1021.382874
0,1002.834243
0,998.0101241
0,1020.308869
0,1002.17379
0,989.8507961
0,984.4832474
0,1021.625275
0,1020.881336
0,1016.434133
0,1005.754431
0,988.4524282
0,997.0081793
0,1038.419067
0,1006.169357
0,1017.276995
0,995.5179946
